Year,Month,CDC_Week,Child_NYC,Child_NYS
2017,April,14,0.672,0.631
2017,April,15,0.672,0.631
2017,April,16,0.672,0.631
2017,April,17,0.672,0.631
2017,May,18,0.681,0.643
2017,May,19,0.681,0.643
2017,May,20,0.681,0.643
2017,May,21,0.681,0.643
2017,May,22,0.681,0.643
2017,June,23,0.000,0.000
2017,June,24,0.000,0.000
2017,June,25,0.000,0.000
2017,June,26,0.000,0.000
2017,July,27,0.031,0.012
2017,July,28,0.031,0.012
2017,July,29,0.031,0.012
2017,July,30,0.031,0.012
2017,August,31,0.086,0.036
2017,August,32,0.086,0.036
2017,August,33,0.086,0.036
2017,August,34,0.086,0.036
2017,August,35,0.086,0.036
2017,September,36,0.240,0.156
2017,September,37,0.240,0.156
2017,September,38,0.240,0.156
2017,September,39,0.240,0.156
2017,October,40,0.407,0.337
2017,October,41,0.407,0.337
2017,October,42,0.407,0.337
2017,October,43,0.407,0.337
2017,October,44,0.407,0.337
2017,November,45,0.528,0.471
2017,November,46,0.528,0.471
2017,November,47,0.528,0.471
2017,November,48,0.528,0.471
2017,December,49,0.602,0.517
2017,December,50,0.602,0.517
2017,December,51,0.602,0.517
2017,December,52,0.602,0.517
2018,January,1,0.646,0.548
2018,January,2,0.646,0.548
2018,January,3,0.646,0.548
2018,January,4,0.646,0.548
2018,January,5,0.646,0.548
2018,February,6,0.668,0.565
2018,February,7,0.668,0.565
2018,February,8,0.668,0.565
2018,February,9,0.668,0.565
2018,March,10,0.693,0.585
2018,March,11,0.693,0.585
2018,March,12,0.693,0.585
2018,March,13,0.693,0.585
2018,April,14,0.709,0.594
2018,April,15,0.709,0.594
2018,April,16,0.709,0.594
2018,April,17,0.709,0.594
2018,May,18,0.715,0.594
2018,May,19,0.715,0.594
2018,May,20,0.715,0.594
2018,May,21,0.715,0.594
2018,May,22,0.715,0.594
